"id";"name";"email";"phone";"city";"country"
1;"Safi Ullah";"safi@gmail.com";"0501234567";"Dubai";"UAE"
2;"Safi Ullah";"safi@gmail.com";"501234567";"Dubai";"UAE"
3;"safi ullah";"";"050-123-4567";"dubai";"uae"
4;"Ali Khan";"ali@gmail";"0559998888";"Sharjah";"UAE"
5;"Ali Khan";"ali@gmail.com";"0559998888";"Sharjah";"UAE"
6;"Sara Ahmed";"sara@gmail.com";"";"Abu Dhabi";"UAE"
7;"Sara Ahmed";"sara@gmail.com";"0521112222";"Abu dhabi";"UAE"
8;"John Doe";"john@gmail.com";"971501112233";"Dubai";"UAE"
9;"John Doe";"john@gmail.com";"0501112233";"DUbai";"UAE"
10;"Fatima Noor";"fatima#gmail.com";"0567778888";"Sharjah";"UAE"
